source_id,authors,year,title,type,doi,url,confidence,notes
PUB-0001,Robert Nouwen,1993,Les dodécaèdres gallo-romains ajourés et bouletés,Book,,,B,Foundational specimen catalogue; primary reference for Nouwen numbers
PUB-0002,Michael Guggenberger,,Roman dodecahedron catalogue,Catalogue,,,B,Updated comprehensive catalogue; primary reference for Guggenberger numbers
PUB-0003,"Guggenberger, Michael and Leach, Stephen",2025,The Gallo-Roman Dodecahedron and the Receptacle of All Becoming,Journal,10.1017/S000358152510036X,https://doi.org/10.1017/S000358152510036X,B,"The Antiquaries Journal 105: 31-54; published online 17 Nov 2025. Full text held at docs/sources/galloroman_dodecahedron_and_the_receptacle_of_all_becoming.pdf. Co-author Guggenberger maintains the reference catalogue, so corpus statistics reported here are catalogue-grade (B); the paper's Platonic/Pythagorean argument is author interpretation and is NOT extracted as evidence."
PUB-0004,Wikipedia contributors,2024,Roman dodecahedron — Wikipedia,Online,,https://en.wikipedia.org/wiki/Roman_dodecahedron,E,General overview only; not citable as primary archaeological source
PUB-0005,Historic England / English Heritage,2024,Roman Dodecahedra — English Heritage summary,Online,,,C,Institutional archaeological summary for British context
PUB-0006,Portable Antiquities Scheme,2024,Portable Antiquities Scheme database — Roman dodecahedra records,Database,,https://finds.org.uk/pas/recorded-find/search/?object_types=dodecahedron&broad_period=Roman,B,Primary source for British PAS-recorded specimens; cite individual record ID in page field
PUB-0007,Society of Antiquaries of London,1739,"Minutes of meeting, 28 June 1739 (SAL/02/003/117)",Archive,,https://collections.sal.org.uk/sal.02.003.117,A,"First recorded Roman dodecahedron; George North exhibits object from Aston, Hertfordshire"
PUB-0008,"Tipper, Samantha",2024,Beautifully crafted Roman dodecahedron discovered in Lincoln - but what were they for?,Article,10.64628/AB.3gxryddu3,https://theconversation.com/beautifully-crafted-roman-dodecahedron-discovered-in-lincoln-but-what-were-they-for-229131,C,The Conversation; describes Norton Disney 2023 find; author is NDAG treasurer
PUB-0009,"Allason-Jones, L. and Miket, R.",1984,Catalogue of Small Finds from South Shields Roman Fort,Book,,,B,Gloucester: Society of Antiquaries of London; no. 3.741 covers the South Shields dodecahedron
PUB-0010,"Guillier, G.; Delage, R.; Besombes, P.-A.",2008,Une fouille en bordure des thermes de Jublains (Mayenne): enfin un dodecaedre en contexte archeologique!,Journal,10.4000/rao.680,https://journals.openedition.org/rao/680,A,"Revue archeologique de l'Ouest 25: 269-289. DIRECTLY CONSULTED; full text held at docs/sources/GuillierEtAl_2008_RAO_25_269_289_DOI.pdf. Excavation report for the only dodecahedron recovered from a sealed, dated, stratified context. Highest-grade source in the database."
PUB-0011,"KIK-IRPA (Royal Institute for Cultural Heritage, Belgium)",2003,BALaT database — dodecaedre (object 10140871),Database,,https://hdl.handle.net/20.500.14037/object.10140871,B,"Musee Curtius, Liege; inv. I.7108; cite: KIK-IRPA 2003; CC0 metadata"
PUB-0012,British Museum,2024,British Museum Collection Online,Database,,https://www.britishmuseum.org/collection,B,Primary source for BM-held specimens; cite individual registration number in page field
PUB-0013,English Heritage / Google Arts & Culture,2024,Copper alloy dodecahedron — Corbridge Roman Museum,Online,,https://artsandculture.google.com/asset/copper-alloy-dodecahedron/9QHFN8rTLq2bgg,C,English Heritage object record via Google Arts & Culture; no measurements given
PUB-0014,"Wikimedia Commons / Wikidata (Rama, photographer)",2019,Dodecahedron X-37086 — Musee departemental de l'Arles antique (Wikidata Q62511455),Online,,https://commons.wikimedia.org/wiki/File:Dodecaedron-X-37086-IMG_9257.jpeg,C,"CC-BY-SA; confirms findspot (thermae, 1939), museum, inventory X-37086, material bronze, date 3rd c."
PUB-0015,"Benoit, F.",1957,Deux enigmes archeologiques: dodecaedre perle d'Arles et anneau octogonal boulète de Vichy,Journal,,,B,OGAM 9: 104-114; primary publication of the Arles dodecahedron; measurements likely present
PUB-0016,Anonymous,1924,Roman dodecahedron from Wales (Notes),Journal,10.1017/S0003581500091459,,B,"Antiquaries Journal 4: 273. FIRST PAGE ONLY DIRECTLY CONSULTED; held at docs/urn_cambridge.org_id_binary-alt_20160626093900-45875-firstPage-S0003581500091459a.jpg. Records that dodecahedra are often found in France and on the Rhine but few in Britain, that one of the best British examples is in the Society of Antiquaries collection from Carmarthen, and that a further Welsh example was communicated on 12 March 1846 by the Rev Edward Harries of Llandysilio (no 41 in de Saint-Venant's list). The remainder of the note is not available and the specimen it illustrates has NOT been matched to an RD_ID."
PUB-0017,"Duval, Paul-Marie",1981,"Comment decrire les dodecaedres gallo-romains, en vue d'une etude comparee",Journal,10.3406/galia.1981.1829,https://www.persee.fr/doc/galia_0016-4119_1981_num_39_2_1829,B,Gallia 39(2): 195-200. DIRECTLY CONSULTED; full text held at docs/sources/galia_0016-4119_1981_num_39_2_1829.pdf. Defines the face-numbering and recording convention adopted by this project as its standard face-ordering convention (see docs/GEOMETRY_SPECIFICATION.md). Also publishes the Vienne (Isere) specimen.
PUB-0018,"Greiner, Bernhard A.",1996,"Romische Dodekaeder: Untersuchungen zur Typologie, Herstellung, Verbreitung, und Funktion",Journal,,,B,"Carnuntum Jahrbuch 1995: 9-44; German analysis of typology, manufacture, distribution, function"
PUB-0019,"Sparavigna, Amelia Carolina",2012,Roman dodecahedron as dioptron: analysis of freely available data,Preprint,10.48550/arXiv.1206.0946,https://arxiv.org/abs/1206.0946,D,"arXiv:1206.0946v2. DIRECTLY CONSULTED; full text held at docs/sources/1206.0946v2.pdf. ADVOCACY SOURCE: the author argues for the rangefinder interpretation (H002), so its argument is treated as interpretation. Its VALUE to this project is the measurement tables it reproduces for Jublains, Avenches, Carnuntum, Tongres and Vienne. Provenance of those tables varies from museum measurement (Avenches, Appendix B) to values read off a photograph with a superimposed grid (the two Coulon specimens), and each observation drawn from it is graded accordingly. Note that the author, arguing FOR a measuring instrument, nonetheless concludes that no standard for these objects appears to have existed."
PUB-0020,"Hill, Christopher",1994,Gallo-Roman Dodecahedra: A Progress Report,Journal,10.1017/s0003581500024458,,B,Antiquaries Journal 74: 289-292; review article with Carmarthen/SAL specimen data
PUB-0021,"Guggenberger, Michael",2013,The Gallo-Roman Dodecahedron,Journal,10.1007/s00283-013-9403-7,,B,Mathematical Intelligencer 35(4): 56-60; overview with specimen data; first recorded specimen documented
PUB-0022,"Guggenberger, Michael",1999,"Die gallo-roemischen Dodekaeder (master's thesis, University of Innsbruck)",Thesis,,,B,"NOT DIRECTLY CONSULTED - cited throughout PUB-0003. Underlying source for corpus statistics on measurements (193-207, tabs 9-26), typology (50-4), knobs (37-40), wear (33-4, 61-2) and find contexts (tab 8). HIGHEST-PRIORITY ACQUISITION: most corpus-level values currently rest on it at one remove."
PUB-0023,"Guggenberger, Michael",2021,"Das gallo-roemische Dodekaeder / The Gallo-Roman Dodecahedron - complete list of finds, Guggenberger No 1-129",Catalogue,,http://saegewerk.org/laboratory/dodekaeder-dodecahedron,B,"DIRECTLY CONSULTED, August 2026, from a copy supplied by the project owner after the site returned an SSL error to automated retrieval; held at docs/sources/Das_galloroemische_Dodekaeder_Saegewerk.pdf. THE REFERENCE CATALOGUE, compiled 1992-2021, last updated 12 January 2021. Complete list of 129 specimens with findspot, year of discovery and TYPE. Nos 1-92 correspond to Greiner 1996; nos 1-101 appear in Guggenberger 1999. Supplies the type attributions that EV048 requires and the catalogue numbers for eighteen specimens in this database. Header figures: 129 finds; dating 2nd/3rd-4th century AD; hole diameters 6-40 mm; height without knobs 40-100 mm; weight 35-580 g with one over 1000 g; nine countries."
PUB-0024,"Thompson, F H",1970,Dodecahedrons again,Journal,,,B,"NOT DIRECTLY CONSULTED - cited in PUB-0003, 36 (n 36). The Antiquaries Journal 50: 93-6. PUB-0003 states this paper conclusively refuted the distance-measuring interpretation (H002). Required reading before H002 is scored on published argument rather than on artefact evidence."
PUB-0025,"Guillier, G; Delage, R; Besombes, P-A",2008,Jublains dodecahedron - stratigraphic dating,Journal,,,A,"NOT DIRECTLY CONSULTED as a separate record - see PUB-0010, which is the same publication. Retained only to flag p 284, cited in PUB-0003 n 13 for the first-half-of-3rd-century deposition date."
PUB-0026,"Coombe, P and Henig, M",2020,Roman sculpture and religious objects from the Severn estuary,Journal,,,B,"NOT DIRECTLY CONSULTED - cited in PUB-0003, 34 (n 27, n 28) for the Gloucester/Severn cache (Guggenberger no 122) and Lydney (no 68)."
PUB-0027,"Wheeler, R E M and Wheeler, T V",1932,"Report on the excavation of the prehistoric, Roman and post-Roman site in Lydney Park, Gloucestershire",Excavation report,,,A,"NOT DIRECTLY CONSULTED - cited in PUB-0003, 34 (n 28), 86 fig 20. Primary excavation report for the Lydney temple of Nodens."
PUB-0028,"Barthel, W",1909,"Einzelfunde, in L Jacobi (ed), Das Kastell Zugmantel",Excavation report,,,A,"NOT DIRECTLY CONSULTED - cited in PUB-0003, 32 (n 13), 35 (n 32) for the Zugmantel, Feldberg, Bachem and Bad Cannstatt specimens."
PUB-0029,"Winkelmann, F",1933,Report on the Pfofeld limes finds,Journal,,,B,"NOT DIRECTLY CONSULTED - cited in PUB-0003, 35 (n 30), 137-8 tab 16, for the Pfofeld dodecahedron and the adjacent Mercury/Hermes-Thoth statuette."
PUB-0030,"Kolling, A",1993,Schwarzenacker cult precinct,Journal,,,B,"NOT DIRECTLY CONSULTED - cited in PUB-0003, 35 (n 31), 124."
PUB-0031,"Berton, L",2007,Les dodecaedres bouletes celto-romains,Article,,,C,"NOT DIRECTLY CONSULTED - cited in PUB-0003, 35 (n 29). Detection Passion 72; source for the specimen found north of Paris beside a bronze statuette."
PUB-0032,"Parker, A and Tipper, S (eds), with Hitchens, L",2025,The Norton Disney dodecahedron,Book,,,B,"NOT DIRECTLY CONSULTED - cited in PUB-0003, 34 (n 25), 33. Excavation-team account of the Norton Disney find (RD-0005)."
PUB-0033,"Henig, Martin",2025,Note on the Norton Disney dodecahedron and religious interpretation,Journal,,,B,"NOT DIRECTLY CONSULTED - cited in PUB-0003, 34 (n 26), 29-30."
PUB-0034,"Gruell, Tibor",2016,The Gallo-Roman dodecahedra: a review,Journal,,,B,"NOT DIRECTLY CONSULTED - cited throughout PUB-0003 (148, 150-5)."
PUB-0035,"Deonna, W",1954,"Les dodecaedres gallo-romains en bronze, ajoures et bouletes. A propos du dodecaedre d'Avenches",Journal,,,B,"NOT DIRECTLY CONSULTED - cited in PUB-0017, 195 n 2 and PUB-0010. Association Pro Aventico Bulletin 16: 19-89. Counted 52 specimens: 22 France, 14 Germany, 6 Switzerland, 3 Holland, 4 Great Britain, 1-2 Austria-Hungary. Earliest corpus census this project can cite."
PUB-0036,"de Saint-Venant, J",1907,Dodecaedres perles gallo-romains,Book,,,B,NOT DIRECTLY CONSULTED - cited in PUB-0010 and PUB-0016. Source of the de Saint-Venant specimen numbering; proposed a 3rd-4th century date.
PUB-0037,"Cervi-Brunier, I",1985,"Dodecaedre en plomb revetu d'argent, Geneve",Journal,,,B,"NOT DIRECTLY CONSULTED - cited in PUB-0010. A SOLID lead dodecahedron coated with silver, each face engraved with a sign of the Zodiac. NOT a hollow knobbed dodecahedron and therefore NOT admitted to the specimen corpus; recorded because it bears on comparative variables."
PUB-0038,"Mereaux-Tanguy, Pierre",1975,Le dodecaedre: mesureur d'angle?,Article,,,D,"NOT DIRECTLY CONSULTED - quoted at length in PUB-0019 (ref 12). Kadath, May-July 1975. Reports measurements of the Tongres and Carnuntum specimens; non-peer-reviewed periodical."
