EvidenceID,Category,Evidence Variable,Definition,Unit/Type,Source Type,Discriminatory Power,Most Relevant Hypotheses
EV001,Geometry,Overall dimensions,"Overall height, width and bounding dimensions",mm,Measurement,High,All
EV002,Geometry,Mass,Artifact weight,g,Measurement,High,All
EV003,Geometry,Wall thickness,Average and local wall thickness,mm,Measurement,High,All
EV004,Geometry,Hole diameter distribution,Diameters of all 12 openings,mm,Measurement,Very High,"Structural, Measuring"
EV005,Geometry,Opposite-hole relationships,Pairing and correspondence of opposite holes,Categorical,Measurement,Very High,"Structural, Measuring"
EV006,Geometry,Hole profile,"Cylindrical, tapered or irregular",Categorical,Observation,High,All
EV007,Geometry,Hole edge radius,Chamfers and edge finishing,mm,Observation,Medium,Manufacturing
EV008,Geometry,Knob diameter,Diameter of vertex knobs,mm,Measurement,Medium,Structural
EV009,Geometry,Knob symmetry,Regularity of knob placement,Categorical,Measurement,Medium,Structural
EV010,Geometry,Face symmetry,Deviation from regular geometry,Numeric,Measurement,High,Manufacturing
EV011,Manufacturing,Alloy composition,Chemical composition,XRF,Analysis,High,Manufacturing
EV012,Manufacturing,Casting quality,General casting quality,Ordinal,Observation,High,All
EV013,Manufacturing,Casting defects,"Voids, seams, miscasts",Text,Observation,High,Manufacturing
EV014,Manufacturing,Surface finishing,"Grinding, polishing, scraping",Text,Observation,Medium,All
EV015,Manufacturing,Repair evidence,Ancient repairs,Boolean,Observation,Medium,Reuse
EV016,Manufacturing,Tool marks,Secondary machining traces,Text,Observation,High,Manufacturing
EV017,Wear,Internal hole wear,Wear inside openings,Ordinal,Observation,Very High,Structural
EV018,Wear,External wear,Wear on external surfaces,Ordinal,Observation,High,All
EV019,Wear,Rope wear,Grooves or polish from rope,Boolean,Observation,Very High,Structural
EV020,Wear,Rotational wear,Evidence of repeated rotation,Boolean,Observation,Very High,Mechanical
EV021,Wear,Impact damage,Mechanical impacts,Text,Observation,Medium,All
EV022,Wear,Abrasion,Surface abrasion,Ordinal,Observation,Medium,All
EV023,Wear,Thermal alteration,"Heat damage, soot, wax",Boolean,Observation,Very High,Candlestick
EV024,Wear,Residues,Organic/inorganic residues,Analysis,Analysis,Very High,Multiple
EV025,Context,Site type,"Military, villa, town, temple, etc.",Enum,Publication,Very High,All
EV026,Context,Roman province,Roman administrative region,Enum,Publication,Medium,Distribution
EV027,Context,Associated finds,Objects found together,Text,Publication,Very High,All
EV028,Context,Stratigraphy,Stratigraphic context,Text,Publication,High,Dating
EV029,Context,Dating,Chronological range,Years,Publication,Very High,All
EV030,Context,Number at site,Single or multiple dodecahedra,Integer,Publication,Medium,Distribution
EV031,Context,Military association,Direct military evidence,Boolean,Publication,High,Military
EV032,Context,Ritual association,Direct ritual evidence,Boolean,Publication,High,Ritual
EV033,Engineering,Rod compatibility,Can rods fit securely?,Assessment,Derived,Very High,Structural
EV034,Engineering,Rope compatibility,Can ropes be routed?,Assessment,Derived,Very High,Structural
EV035,Engineering,Structural stability,Stable under load,Assessment,Derived,Very High,Structural
EV036,Engineering,Load transfer,Plausible force paths,Assessment,Derived,High,Structural
EV037,Engineering,Assembly potential,Supports modular construction,Assessment,Derived,High,Structural
EV038,Engineering,Orientation dependence,Requires fixed orientation,Assessment,Derived,High,Measuring
EV039,Comparative,Standardisation,Similarity across artifacts,Statistic,Derived,High,All
EV040,Comparative,Regional variation,Geographic patterns,Statistic,Derived,High,All
EV041,Wear,Knob wear,"Wear, polish, grooving or abrasion on the knobs and knob necks, as distinct from wear on faces or inside the openings",Ordinal,Direct observation,Very High,H005;H012
EV042,Wear,Microwear location,"Microscopic wear analysis distinguishing contact inside the bore of an opening from contact on its outer lip, as against the macroscopic impression recorded by EV017 and EV018",Ordinal,Analysis,Very High,H001;H005;H011;H012
EV043,Geometry,Aperture distinguishability,"Whether every aperture on a single specimen can be told apart from every other, by diameter or by the number of concentric rings engraved around it. Distinct from EV004, which records the distribution of diameters, and from EV039, which records whether diameters conform to a standard between objects",Boolean,Direct observation,Very High,H003;H008
EV044,Manufacturing,Interior finish and marking,"Condition of the internal surface: whether it is smoothed or left as cast, and whether it carries any engraving, scale or marking. Distinct from EV012, which records casting quality overall, and EV014, which records decoration of the exterior",Ordinal,Direct observation,High,H003;H004;H014
EV045,Manufacturing,Manufacturing difficulty,"How hard the object actually was to produce: the failure rate of lost-wax casting at this geometry, the skill demanded, and the presence or absence of moulds, casting waste, rejects or workshop debris anywhere in the record",Assessment,Experimental archaeology,Very High,H003;H008;C-16
EV046,Geometry,Marked axis,"Whether the object carries a visual marking that singles out one axis or one face, as distinct from a structural feature such as a base or suspension loop. Distinct from EV038, which asks whether the FUNCTION requires a fixed orientation, and from EV014, which records the presence of decoration",Boolean,Direct observation,Very High,H013;H014;C-15
EV047,Documentation,Authenticity and provenance security,"Security of a specimen as an authentic ancient object: whether it has an excavated findspot, a documented collection history, and any metallurgical or technical authentication. Also whether it may be an ANCIENT local imitation of a classic type, as distinct from a modern forgery",Ordinal,Direct observation,Very High,All
EV048,Comparative,Within-type standardisation,"Whether specimens of a single Greiner/Guggenberger type are more uniform in overall diameter, aperture set and wall thickness than the pooled corpus. Distinct from EV039, which measures standardisation across the corpus as one population and cannot detect type-mixing",Statistic,Analysis,Very High,H002;H006;H011
