HypothesisID,Name
H001,Structural connector / modular node
H002,Rangefinder / measuring instrument
H003,Ritual object
H004,Candlestick / lamp support
H005,Textile / knitting tool
H006,Astronomical instrument
H007,Military equipment
H008,Portable shrine component
H009,Tent apex / crown fitting (mobile shelter node)
H010,Parasol / umbrella crown fitting
H011,Archery targeting / ranging aid
H012,Spool-knitting / cord-working frame (knob-based)
H013,Rope-laying top (rotated, core through one aperture)
H014,Wax bulla / seal former
