evidence_id,source_id
E001,PUB-0004
E001,PUB-0005
E002,PUB-0004
E002,PUB-0005
E003,PUB-0004
E003,PUB-0005
E004,PUB-0004
E004,PUB-0005
E005,PUB-0004
E005,PUB-0005
E006,PUB-0006
E006,PUB-0005
E007,PUB-0005
E008,PUB-0005
E009,PUB-0005
E010,PUB-0005
E011,PUB-0006
E012,PUB-0005
E013,PUB-0004
E014,PUB-0004
E015,PUB-0004
E016,PUB-0004
E017,PUB-0004
E018,PUB-0004
E019,PUB-0004
E020,PUB-0004
E021,PUB-0004
E022,PUB-0004
E023,PUB-0005
E024,PUB-0004
E025,PUB-0006
E030,PUB-0004
E030,PUB-0005
EI-0001,PUB-0003
EI-0002,PUB-0003
EI-0003,PUB-0003
EI-0004,PUB-0003
EI-0005,PUB-0003
EI-0006,PUB-0003
EI-0007,PUB-0003
EI-0009,PUB-0010
EI-0010,PUB-0017
EI-0011,PUB-0019
EI-0012,PUB-0019
EI-0013,PUB-0017
EI-0014,PUB-0041
EI-0015,PUB-0041
EI-0016,PUB-0003
EI-0017,PUB-0003
EI-0008,PUB-0003
