ev_id,variable,category,discriminatory_power,corpus_direction,H001,H002,H003,H004,H005,H006,H007,H008,H009,H010,H011,H012,H013,H014
EV001,Overall dimensions,Geometry,High,confirmed,1.8,0.0,0.0,1.8,1.8,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8
EV002,Mass,Geometry,High,ambiguous,,,,,,,,,,,,,,
EV003,Wall thickness,Geometry,High,absent,-1.8,0.0,0.0,0.0,0.0,0.0,-1.8,0.0,-3.6,1.8,1.8,1.8,1.8,1.8
EV004,Hole diameter distribution,Geometry,Very High,confirmed,5.4,5.4,0.0,-2.7,5.4,2.7,0.0,0.0,-2.7,-5.4,5.4,5.4,5.4,5.4
EV005,Opposite-hole relationships,Geometry,Very High,weak_absent,-2.7,-1.35,0.0,1.35,-1.35,-1.35,0.0,0.0,-1.35,-2.7,-2.7,0.0,0.0,0.0
EV006,Hole profile,Geometry,High,confirmed,3.6,3.6,0.0,1.8,1.8,1.8,0.0,0.0,3.6,3.6,3.6,1.8,3.6,1.8
EV007,Hole edge radius,Geometry,Medium,,,,,,,,,,,,,,,
EV008,Knob diameter,Geometry,Medium,confirmed,1.8,0.0,0.9,0.9,0.9,0.0,0.0,0.9,0.0,-0.9,0.9,1.8,1.8,1.8
EV009,Knob symmetry,Geometry,Medium,confirmed,1.8,0.9,0.9,0.9,0.0,1.8,0.0,0.9,0.0,0.0,0.0,1.8,1.8,1.8
EV010,Face symmetry,Geometry,High,absent,-1.8,-3.6,0.0,0.0,0.0,-3.6,0.0,0.0,-3.6,-3.6,-3.6,0.0,-1.8,-1.8
EV011,Alloy composition,Manufacturing,High,confirmed,1.5,0.0,1.5,0.0,0.0,0.0,1.5,1.5,3.0,0.0,0.0,0.0,0.0,0.0
EV012,Casting quality,Manufacturing,High,weak_confirmed,0.9,1.8,0.9,0.0,0.0,1.8,0.9,0.9,0.9,0.9,1.8,0.9,0.9,0.9
EV013,Casting defects,Manufacturing,High,confirmed,-1.8,-3.6,0.0,0.0,0.0,-3.6,-1.8,0.0,-3.6,-1.8,-3.6,0.0,0.0,0.0
EV014,Surface finishing,Manufacturing,Medium,confirmed,0.0,0.9,0.9,0.0,0.9,0.9,0.0,0.9,0.0,1.8,0.9,0.9,0.9,1.8
EV015,Repair evidence,Manufacturing,Medium,,,,,,,,,,,,,,,
EV016,Tool marks,Manufacturing,High,confirmed,1.8,3.6,0.0,0.0,0.0,3.6,0.0,0.0,0.0,1.8,3.6,1.8,1.8,3.6
EV017,Internal hole wear,Wear,Very High,absent,-4.5,-2.25,2.25,-2.25,-4.5,0.0,0.0,2.25,-4.5,-4.5,2.25,2.25,-4.5,2.25
EV018,External wear,Wear,High,absent,-1.8,0.0,1.8,0.0,-1.8,0.0,-1.8,1.8,-3.6,-1.8,-1.8,-1.8,-1.8,-1.8
EV019,Rope wear,Wear,Very High,absent,-4.5,2.25,0.0,0.0,-2.25,2.25,0.0,0.0,-4.5,-2.25,-2.25,0.0,-4.5,0.0
