rd_id,specimen_name,findspot,country,roman_province,context_category,date_from,date_to,museum_name,museum_city,museum_country,inventory_number,material,manufacturing_method,height_mm,width_mm,max_diameter_mm,weight_g,wall_thickness_mm,knob_diameter_mm,hole_01_mm,hole_02_mm,hole_03_mm,hole_04_mm,hole_05_mm,hole_06_mm,hole_07_mm,hole_08_mm,hole_09_mm,hole_10_mm,hole_11_mm,hole_12_mm,decoration_type,decoration_desc,wear_notes,associated_finds,primary_source_id,confidence,nouwen_number,guggenberger_number,guggenberger_type,notes
RD-0001,Much Hadham dodecahedron,"Much Hadham, East Hertfordshire",United Kingdom,Britannia,Unknown,43,410,,,,PAS:BH-692011,Copper alloy,Cast,,,82.0,247.23,3.0,9.5,,,,,,,,,,,,,Geometric,Faint double-lined circumferential border surrounding each hole,Patchy mid-green and brown patina; pitting and gouging on several faces; abrasion around base of most knobs; one knob partially detached but attached,,PUB-0006,B,,118,1a?,"Smallest hole 13.7mm, largest 20mm; all holes bevelled; possibly the most complete specimen known from Britannia per PAS record"
RD-0002,Fridaythorpe dodecahedron,"Fridaythorpe, East Riding of Yorkshire",United Kingdom,Britannia,Unknown,1,400,,,,PAS:YORYM-41CD72,Copper alloy,Cast,,82.4,,270.0,,,,,,,,,,,,,,,,Some holes surrounded by incised pentagonal line,One knob broken off (loose); metal mid greyish-green; rough broken edges,,PUB-0006,B,,,,"Incomplete: 6 complete faces + half of 5 more; interior crudely cast; holes of different sizes irregularly cut; face width ~42mm, face length ~38mm"
RD-0003,Compton dodecahedron fragment,"Compton, Guildford, Surrey",United Kingdom,Britannia,Unknown,43,410,,,,PAS:SUR-729950,Copper alloy,Cast,,,,82.0,,13.5,,,,,,,,,,,,,,,,,PUB-0006,B,,115,6,Fragment weight 82g; one complete face hole ~15.75mm; no additional decoration; interior roughcast; only dodecahedron known from southern England outside London per PAS 2009
RD-0004,Stockbridge dodecahedron fragment,"Stockbridge, Test Valley, Hampshire",United Kingdom,Britannia,Unknown,43,410,Hampshire Cultural Trust,Winchester,United Kingdom,PAS:HAMP-CE1119; HCT:WINCM 629,Copper alloy,Cast,29.1,48.7,,46.79,3.7,,,,,,,,,,,,,,Raised rim with sunken surround and inner ring around each hole,Raised rim around perforations; sunken circular area; raised ring closer to hole than edge,Metal rather pitted and worn; dark to mid-green patina,,PUB-0006,B,,119,1a,"Fragment: 2 complete faces + ~half of 6 more; face dimension 29-30mm corner to side-centre; holes: 10-11mm (complete faces), 18.3mm (adjacent face)"
RD-0005,Norton Disney dodecahedron,"Norton Disney, Lincolnshire",United Kingdom,Britannia,Settlement,43,410,The Collection (Lincoln Museum),Lincoln,United Kingdom,,Copper alloy,Cast,,,80.0,245.0,,,,,,,,,,,,,,,,,No wear; described as completely undamaged with no evidence of any wear at all,,PUB-0008,C,,132,,"Found June 2023 by NDAG in trench 4, large pit; near Roman villa excavated 1935; XRF: Cu 75%, Sn 7%, Pb 18% (Gerry McDonnell); 3D scanned (Univ. Lincoln); sent to Newcastle Univ. for further analysis; 33rd dodecahedron found in England; first from East Midlands"
RD-0006,Tongeren dodecahedron,"Leopoldwal, Tongeren (Atuatuca Tungrorum)",Belgium,Gallia Belgica,Unknown,150,400,Gallo-Roman Museum,Tongeren,Belgium,4002,Bronze (copper alloy),Cast,,,,,,,,,,,,,,,,,,,,,,,PUB-0004,E,,4,4,Source: Wikipedia image caption; inv. 4002; findspot Leopoldwal 1939; measurements not available from this source
RD-0007,Aston (Hertfordshire) dodecahedron,"Aston, Hertfordshire",United Kingdom,Britannia,Unknown,,,,,,,Bronze,,,,,,,,,,,,,,,,,,,,,,,,PUB-0007,A,,59,?,"First recorded dodecahedron; exhibited at SAL meeting 28 June 1739 by George North; described as twelve-sided bronze object from a field in Aston, Hertfordshire; measurements and current location not stated in archival record"
RD-0008,Near Market Lavington dodecahedron fragment,"Near Market Lavington, Wiltshire",United Kingdom,Britannia,Unknown,100,300,Wiltshire Heritage Museum,Devizes,United Kingdom,PAS:WILT-37C5E1; WHM:1591,Copper alloy,Cast,,26.15,,27.13,,13.05,,,,,,,,,,,,,,,,,PUB-0006,B,,,,Fragment: one edge + 2 cylindrical lugs (13.05mm and 12.40mm dia) + 4 short edge sections; fragment measures 37.65 x 26.15 x 21.05mm; interior concave and crudely cast; exterior relatively smooth
RD-0009,Stamford Bridge dodecahedron fragment,"Stamford Bridge, East Riding of Yorkshire",United Kingdom,Britannia,Unknown,43,410,Yorkshire Museum,York,United Kingdom,PAS:YORYM-E841F9; YMT:E05656,Copper alloy,Cast,7.2,18.7,,3.8,,,,,,,,,,,,,,,Incised,Double incised border around two visible hole edges (= two concentric rings),Metal worn; mid-green patina,,PUB-0006,B,,120,1a,"Tiny fragment: one edge + 2 spherical lugs; edges of 3 circles visible; 29.5 x 18.7 x 7.2mm; interior hollow, undecorated"
RD-0010,Yelnow dodecahedron fragment,"Yelnow, Bedford",United Kingdom,Britannia,Unknown,43,410,,,,PAS:PUBLIC-959804,Copper alloy,Cast,8.7,10.0,,1.67,,,,,,,,,,,,,,,Incised,"Incised grooved decoration on two surviving face portions, forming two rings as outer boundary of pentagonal faces",,,PUB-0006,B,,,,Smallest PAS fragment: 12.5 x 10 x 8.7mm; one corner where 3 faces meet; single spherical knob intact; depth of discovery 0-10cm
