hypothesis_id,scenario,raw_score,weighted_score,rank,scored_variables,evidence_gaps,worst_case,best_case,robust,notes
H012,baseline,15.5,24.0375,1,32,11,6.787500000000001,41.2875,0,Spool-knitting / cord-working frame (knob-based); predictions_made=19/32 (strong=3); achieved=+24.0 of a possible 35.8; robust means this hypothesis still leads when every unscored variable resolves against it and in favour of its strongest rival
H014,baseline,14.0,21.037499999999998,2,32,11,10.537499999999998,31.537499999999998,0,Wax bulla / seal former; predictions_made=21/32 (strong=7); achieved=+21.0 of a possible 46.8; robust means this hypothesis still leads when every unscored variable resolves against it and in favour of its strongest rival
H003,baseline,8.5,12.15,3,32,11,5.4,18.9,0,Ritual object; predictions_made=11/32 (strong=2); achieved=+12.2 of a possible 21.8; robust means this hypothesis still leads when every unscored variable resolves against it and in favour of its strongest rival
H008,baseline,8.0,11.4,4,32,11,4.65,18.15,0,Portable shrine component; predictions_made=12/32 (strong=2); achieved=+11.4 of a possible 23.2; robust means this hypothesis still leads when every unscored variable resolves against it and in favour of its strongest rival
H013,baseline,9.0,8.6625,5,32,11,-8.5875,25.9125,0,Rope-laying top (rotated; predictions_made=23/32 (strong=8); achieved=+8.7 of a possible 53.3; robust means this hypothesis still leads when every unscored variable resolves against it and in favour of its strongest rival
H002,baseline,1.5,3.450000000000001,6,32,11,-4.049999999999999,10.950000000000001,0,Rangefinder / measuring instrument; predictions_made=20/32 (strong=8); achieved=+3.5 of a possible 50.6; robust means this hypothesis still leads when every unscored variable resolves against it and in favour of its strongest rival
H001,baseline,6.0,2.325000000000002,7,32,11,-6.674999999999998,11.325000000000003,0,Structural connector / modular node; predictions_made=28/32 (strong=12); achieved=+2.3 of a possible 68.2; robust means this hypothesis still leads when every unscored variable resolves against it and in favour of its strongest rival
H005,baseline,2.0,-0.15000000000000058,8,32,11,-10.65,10.35,0,Textile / knitting tool; predictions_made=18/32 (strong=3); achieved=-0.2 of a possible 39.4; robust means this hypothesis still leads when every unscored variable resolves against it and in favour of its strongest rival
H006,baseline,0.0,-0.524999999999999,9,32,11,-6.524999999999999,5.475000000000001,0,Astronomical instrument; predictions_made=17/32 (strong=7); achieved=-0.5 of a possible 42.5; robust means this hypothesis still leads when every unscored variable resolves against it and in favour of its strongest rival
H004,baseline,1.5,-0.6375000000000002,10,32,11,-10.3875,9.1125,0,Candlestick / lamp support; predictions_made=15/32 (strong=1); achieved=-0.6 of a possible 28.1; robust means this hypothesis still leads when every unscored variable resolves against it and in favour of its strongest rival
H007,baseline,-0.5,-1.5,11,32,11,-6.75,3.75,0,Military equipment; predictions_made=12/32 (strong=3); achieved=-1.5 of a possible 29.1; robust means this hypothesis still leads when every unscored variable resolves against it and in favour of its strongest rival
H011,baseline,-4.0,-8.774999999999999,12,32,11,-22.275,4.725000000000001,0,Archery targeting / ranging aid; predictions_made=23/32 (strong=14); achieved=-8.8 of a possible 68.0; robust means this hypothesis still leads when every unscored variable resolves against it and in favour of its strongest rival
H010,baseline,-1.5,-9.1875,13,32,11,-19.6875,1.3125,0,Parasol / umbrella crown fitting; predictions_made=26/32 (strong=11); achieved=-9.2 of a possible 66.5; robust means this hypothesis still leads when every unscored variable resolves against it and in favour of its strongest rival
H009,baseline,-14.0,-33.975,14,32,11,-41.475,-26.475,0,Tent apex / crown fitting (mobile shelter node); predictions_made=25/32 (strong=20); achieved=-34.0 of a possible 77.8; robust means this hypothesis still leads when every unscored variable resolves against it and in favour of its strongest rival
