observation_id,rd_id,ev_id,observed_value,confidence,source_id,page,figure,extraction_date,notes
1,RD-0001,EV001,82mm maximum diameter; face dimensions 38mm x 38mm,B,PUB-0006,BH-692011,,2026-08-07,
2,RD-0001,EV002,247.23 g,B,PUB-0006,BH-692011,,2026-08-07,
3,RD-0001,EV003,3 mm (plate thickness),B,PUB-0006,BH-692011,,2026-08-07,
4,RD-0001,EV004,Smallest hole 13.7mm; largest hole 20mm; all 12 faces perforated with varying diameters,B,PUB-0006,BH-692011,,2026-08-07,Individual face-by-face diameters not listed in PAS record
5,RD-0001,EV006,Slightly bevelled rounded edges on all perforations,B,PUB-0006,BH-692011,,2026-08-07,
6,RD-0001,EV008,"Knob height approx. 9mm; diameter 9-10mm; triangular cross-section at base, sub-spherical form",B,PUB-0006,BH-692011,,2026-08-07,"20 knobs present; upper layer missing on several, revealing red corrosion"
7,RD-0001,EV009,All 20 knobs triangular-base sub-spherical; consistent form across specimen,B,PUB-0006,BH-692011,,2026-08-07,
8,RD-0001,EV010,All 12 faces described as equally sized (38mm x 38mm); smoothed,B,PUB-0006,BH-692011,,2026-08-07,
9,RD-0001,EV012,Exterior well-finished and smoothed; interior surfaces more roughly cast; preservation grade 2,B,PUB-0006,BH-692011,,2026-08-07,
10,RD-0001,EV013,"Upper layer of metal absent on several knobs, revealing red corrosion; casting not perfect",B,PUB-0006,BH-692011,,2026-08-07,
11,RD-0001,EV014,Exterior surfaces smoothed; explicitly stated as smoothed in PAS description,B,PUB-0006,BH-692011,,2026-08-07,
12,RD-0001,EV018,Several faces pitted or gouged; abrasion around base of most knobs; patchy patina,B,PUB-0006,BH-692011,,2026-08-07,
13,RD-0001,EV022,Abrasion present around the base of most knobs,B,PUB-0006,BH-692011,,2026-08-07,
14,RD-0001,EV025,Cultivated land; metal detector find; exact Roman context unknown,B,PUB-0006,BH-692011,,2026-08-07,"Findspot: Much Hadham, East Hertfordshire"
15,RD-0001,EV039,Hole diameters range 13.7-20mm; variation present within single specimen,B,PUB-0006,BH-692011,,2026-08-07,Standardisation across corpus cannot be assessed from a single specimen
16,RD-0002,EV001,"Overall width 82.4mm; face width ~42mm, face length ~38mm (approximate)",B,PUB-0006,YORYM-41CD72,,2026-08-07,Specimen incomplete; overall dimensions approximate
17,RD-0002,EV002,270 g (incomplete specimen; true complete weight would be higher),B,PUB-0006,YORYM-41CD72,,2026-08-07,Weight is of incomplete specimen; 6 complete + ~5 partial faces
18,RD-0002,EV004,Large circular holes of different sizes; holes described as irregularly cut,B,PUB-0006,YORYM-41CD72,,2026-08-07,Individual diameters not listed; variation confirmed
