hypothesis_id,ev_id,score,confidence,dp_weight,conf_weight,class_weight,weighted_score,notes
H001,EV001,1.0,B,2.0,0.9,1.0,1.8,direction=confirmed; class=Observed; source=PUB-0003 p31
H001,EV003,-1.0,B,2.0,0.9,1.0,-1.8,direction=absent; class=Observed; source=PUB-0003 p39
H001,EV004,2.0,B,3.0,0.9,1.0,5.4,direction=confirmed; class=Observed; source=PUB-0003 p31
H001,EV005,-1.0,B,3.0,0.9,1.0,-2.7,direction=weak_absent; class=Observed; source=PUB-0003 p31
H001,EV006,2.0,B,2.0,0.9,1.0,3.6,direction=confirmed; class=Observed; source=PUB-0003 p32
H001,EV008,2.0,B,1.0,0.9,1.0,1.8,direction=confirmed; class=Observed; source=PUB-0003 p39-40
H001,EV009,2.0,B,1.0,0.9,1.0,1.8,direction=confirmed; class=Observed; source=PUB-0003 p39-40
H001,EV010,-1.0,B,2.0,0.9,1.0,-1.8,direction=absent; class=Observed; source=PUB-0010 ppara 48
H001,EV011,1.0,C,2.0,0.75,1.0,1.5,direction=confirmed; class=Observed; source=PUB-0003 p31
H001,EV012,0.5,B,2.0,0.9,1.0,0.9,direction=weak_confirmed; class=Observed; source=PUB-0003 p32
H001,EV013,-1.0,B,2.0,0.9,1.0,-1.8,direction=confirmed; class=Observed; source=PUB-0003 p32
H001,EV014,0.0,B,1.0,0.9,1.0,0.0,"direction=confirmed; class=Observed; source=PUB-0003 p32, 36"
H001,EV016,1.0,B,2.0,0.9,1.0,1.8,direction=confirmed; class=Observed; source=PUB-0003 p32
H001,EV017,-2.0,C,3.0,0.75,1.0,-4.5,direction=absent; class=Observed; source=PUB-0003 p45
H001,EV018,-1.0,B,2.0,0.9,1.0,-1.8,direction=absent; class=Observed; source=PUB-0003 p45
H001,EV019,-2.0,C,3.0,0.75,1.0,-4.5,"direction=absent; class=Observed; source=PUB-0003 p45, 52"
H001,EV020,1.0,C,3.0,0.75,1.0,2.25,"direction=absent; class=Observed; source=PUB-0003 p45, 52"
H001,EV025,0.0,B,3.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p33
H001,EV026,0.0,B,1.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p32
H001,EV027,0.0,C,3.0,0.75,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p34-6
H001,EV029,0.0,B,3.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p32
H001,EV031,0.5,B,2.0,0.9,1.0,0.9,direction=weak_confirmed; class=Observed; source=PUB-0003 p33
H001,EV032,-0.5,C,2.0,0.75,1.0,-0.75,direction=weak_confirmed; class=Observed; source=PUB-0003 p33-5
H001,EV033,2.0,C,3.0,0.75,0.5,2.25,direction=confirmed; class=Derived; source=PUB-0003 p35-6
H001,EV034,2.0,C,3.0,0.75,0.5,2.25,direction=confirmed; class=Derived; source=NONE
H001,EV035,1.0,C,3.0,0.75,0.5,1.125,direction=weak_confirmed; class=Derived; source=NONE
H001,EV036,1.0,C,2.0,0.75,0.5,0.75,direction=weak_confirmed; class=Derived; source=NONE
H001,EV037,-2.0,B,2.0,0.9,1.0,-3.6,direction=absent; class=Observed; source=PUB-0003 p31
H001,EV038,0.5,C,2.0,0.75,1.0,0.75,"direction=weak_absent; class=Observed; source=PUB-0003 p37-8, 40"
H001,EV039,-1.0,B,2.0,0.9,1.0,-1.8,"direction=absent; class=Observed; source=PUB-0003 p31, 32, 39-40"
