subject_id,subject_type,product,substitute,product_value,craft_value,experience_value,rationale
H001,hypothesis,A modular structure assembled from rods,"Carpentry joints and iron fittings, cheaper and far stronger",-1,0,0,"A structural node is useful, but 0.5-4 mm of leaded bronze cannot carry load, and the joinery it would replace was solved cheaply everywhere in wood and iron. Nothing about a hidden structural fitting rewards fine finishing or engraving"
H002,hypothesis,An estimate of distance,"The groma and the dioptra, both documented, plus trained pacing",-2,0,0,"Distance measurement mattered greatly, which is why Rome had named, standardised, written-up instruments for it. An unstandardised object cannot compete with a groma"
H003,hypothesis,"Symbolic or ritual efficacy, and standing",None: the object IS the product,2,2,2,"SCORES ON ALL THREE, AND IS THE ONLY FAMILY THAT DOES. The expense is functional rather than anomalous: difficulty of manufacture ADDS to the worth of a votive or prestige object instead of subtracting from it; the absence of standardisation is what individual commissioning looks like; and the value is delivered in the using, not in an output"
H004,hypothesis,Light,"A pottery lamp, near-free and in every house",-2,0,1,"Light was valuable and already had a cheap universal solution. A costly lamp holder could carry display value, but no thermal evidence supports the function at all"
H005,hypothesis,Looped or knitted fabric,"A wooden or bone spool, effectively free",-1,0,0,The product is useful; the material is unexplained
H006,hypothesis,Celestial measurement,Documented instruments; and see EXP-0002 and EXP-0003,-2,0,1,Cannot deliver the product at all on the computed geometry
H007,hypothesis,Unspecified military function,"Unclear, because the product is unclear",-1,0,0,A hypothesis that does not name its product cannot be assessed for worth
H008,hypothesis,A focus for domestic or personal cult,None: the object IS the product,2,2,2,As H003. The making and the holding are the point
H009,hypothesis,A pitched shelter,"Rope lashing or a turned wooden hub, trivially cheaper",-2,0,0,"Shelter is valuable and Rome solved it with leather, rope and wood"
H010,hypothesis,Shade or rain cover,A turned wooden crown,-1,0,1,"A canopy crown carries almost no load and has no reason to be bronze, though a visible fitting on a status accessory could carry display value"
H011,hypothesis,A range estimate for shooting,"Trained instinct, which is how archers actually shoot",-2,0,0,"An instrument that must be raised, oriented and read is slower than the shot it serves"
H012,hypothesis,"Looped cord tubes, gloves or hose","A wooden or bone spool, effectively free",-1,0,0,"THE STRONGEST EVIDENTIAL HYPOTHESIS IS AMONG THE WEAKEST ON WORTH. Peg-frames for looped cord work are made of scrap wood in every culture that does this. Nothing about the task rewards leaded bronze, fine finishing or engraved rings, and the work itself is ordinary labour"
H013,hypothesis,Laid cord or rope,"Hand-laying, or a wooden laying top",-1,0,0,"As H012, with the added cost of a tool that must be turned under tension"
H014,hypothesis,Standardised wax sealings for documents,"A simple mould, or forming the wax freehand",0,1,1,"The most defensible utilitarian case. Administrative consistency has real institutional value, an office could afford bronze, and a durable former outlasts a mould. Some craft value attaches to a fine office instrument, and sealing is a small ceremony with its own standing. But the corpus is NOT standardised, which is exactly the value the product should deliver"
C-12,candidate,"Formed leather, wax, foil or soft metal","Wooden or bone formers, and simple moulds",0,1,0,"Inherits H014's position. Bronze is defensible for a former that must keep its shape through many pressings, which is the one genuine argument for the material anywhere in the utilitarian family"
C-13,candidate,Garment parts made to a repeatable size,"A knotted cord or a marked stick, effectively free",-1,0,0,Sizing is real work and the cheapest possible instrument to improvise
C-14,candidate,A reading of the date or zodiac sign,"Sundials, surviving in their hundreds and described by Vitruvius, and the public fasti posted in every town",-2,0,1,"TIME AS A PRODUCT, ASSESSED. The date was valuable AND already available, free, more precisely and more conveniently. Some experience value could attach to a personal instrument of the heavens"
C-15,candidate,"A reading of solar altitude, hence the season","Sundials, the public fasti, and the agricultural calendar preserved in Columella and Palladius",-2,0,1,"Delivers eight irregular events a year with a blind window of 2.2 months at Arles rising to 4.6 months at Corbridge, at roughly four days' precision near the equinoxes and far worse near the solstices, and needs three different modes of support. A sundial on a wall is cheaper, continuous and better"
C-16,candidate,"The making itself: a demonstration of mastery, and an object to be possessed, handled and shown",None: no cheaper object demonstrates the same mastery,0,2,2,"PROPOSED IN RESPONSE TO THE OBSERVATION THAT THE CRAFTING IS ITSELF THE VALUE. The reading is the chef-d'oeuvre or masterpiece interpretation recorded by Coulon 1910 and cited in PUB-0019: these objects are 'des exercices de maitres, des sortes de chefs-d'oeuvre'. It predicts, without strain, every corpus property that embarrasses the utilitarian family: expensive material, difficult casting, fine finishing, engraving concentrated where it is most visible, NO standardisation because each is its own achievement, no wear because it is handled and shown rather than worked, no toolkit because it is not a tool, deposition in graves and hoards as a valued possession, one per owner, and no mention in technical literature because it belongs to no trade. ITS WEAKNESS IS THE MIRROR OF ITS STRENGTH: it is consistent with everything and forbids almost nothing. Its one real test is EV045"
