candidate_id,ev_id,prediction,reading,rationale
C-17,EV046,++,,"A levelling sight must present a known axis, and the object marks one. NOTE: C-17 IS THE FIRST CANDIDATE SCORED ON EV046, which was added after every hypothesis had been specified. This advantages it relative to H001-H014, all of which are silent on the variable"
C-17,EV006,++,,A through-sight needs truly circular apertures at both ends
C-17,EV003,-,,Thin walls give a sharper sight; a thick wall makes a tube
C-17,EV017,-,,"Optical use; nothing passes through, so the absence of bore wear counts in favour"
C-17,EV010,++,,"The readings are angles; departure from regular geometry is direct instrument error, and EXP-0004 shows the margin is already too thin to absorb any"
C-17,EV039,++,,"A level must give the same reading in any workman's hands. The corpus varies 2.5:1 in size and its pair differences, which set the precision, vary from 0.3 to 10.2 mm between specimens"
C-17,EV019,++,,Suspension from a cord is required by the mechanism and must bear on the object
C-17,EV025,+,confirmed,"Predicts urban and engineering contexts, which the corpus shows"
C-17,EV027,++,absent,"Predicts association with surveying or levelling equipment - a chorobates, dioptra, groma, libra, or a plumb bob. None is recorded with any dodecahedron"
C-17,EV026,--,confirmed,"Aqueducts were built across the whole empire, and most spectacularly in Italy, Africa and the East. An instrument for building them had no reason to stay in the north-western provinces; the confinement is present"
C-15,EV006,++,,A shadowless disc is a null reading and needs truly circular apertures at both ends of the sight line
C-15,EV003,-,,Thin walls give a sharper null; a thick wall turns the aperture into a tube and blurs the alignment
C-15,EV017,-,,"Optical use; nothing passes through, so the absence of bore wear counts in favour"
C-15,EV039,-,,"THE CANDIDATE'S DISTINCTIVE STRENGTH. The face-axis angles are fixed by the polyhedron and are identical in a 40 mm and a 100 mm specimen, so the instrument needs no standardisation at all. It is the only proposal in the project for which the absence of a standard is predicted rather than merely tolerated"
C-15,EV010,++,,"The readings ARE angles, so departure from regular geometry is direct instrument error"
C-15,EV004,0,,"NEUTRAL, AND A DEBIT RATHER THAN A DODGE: the mechanism does not need graded apertures at all. Aperture size affects only the tolerance of the null, not which elevation is read. The candidate leaves the single strongest feature of the corpus unexplained"
C-15,EV005,+,,"Opposite apertures should be near-matched, since their difference sets the angular tolerance of the null: about 1 to 3 degrees for the observed 2 to 4.5 mm pair differences over a 50 mm path"
C-15,EV019,++,,Repeated suspension from a cord must bear on the knob and leave rope wear
C-15,EV041,++,,The suspension cord bears directly on whichever knob is used
C-15,EV012,+,,Clean aperture edges are needed for a sharp null
C-15,EV025,+,confirmed,"Predicts urban and domestic contexts, which the corpus shows"
C-15,EV027,++,absent,Predicts association with calendrical or astronomical equipment; none is recorded with any dodecahedron
C-15,EV026,-,confirmed,"EXP-0003 shows the four noon-reachable elevations are identical from 43.7 to 55 degrees north, so the instrument is latitude-insensitive across the empire and had no reason to remain in the north-western provinces. Confinement therefore counts against it"
C-14,EV004,++,,Twelve apertures for twelve zodiac months is the functional claim
C-14,EV010,++,,"A dial reads angles. Geometric fidelity is the whole instrument, and EXP-0002 shows irregularity degrades the resolution further"
C-14,EV039,++,,A dial is calibrated for one latitude and must be reproducible; the corpus spans 43 to 55 degrees north with no systematic geometric variation and no standardisation at all
C-14,EV038,++,,"A dial must be oriented to the meridian and held fixed. No specimen has a base, a suspension loop or any distinguished axis; the knobs let it rest on any face"
C-14,EV044,++,,"The interior IS the projection surface. It must be smoothed and it must carry engraved declination curves, as every Roman zodiac dial does. The corpus interiors are rough, unfinished and unmarked"
