ev_id,variable,category,definition,unit,source_type,discriminatory_power,most_relevant_hypotheses
EV001,Overall dimensions,Geometry,"Overall height, width and bounding dimensions",mm,Measurement,High,All
EV002,Mass,Geometry,Artifact weight,g,Measurement,High,All
EV003,Wall thickness,Geometry,Average and local wall thickness,mm,Measurement,High,All
EV004,Hole diameter distribution,Geometry,Diameters of all 12 openings,mm,Measurement,Very High,"Structural, Measuring"
EV005,Opposite-hole relationships,Geometry,Pairing and correspondence of opposite holes,Categorical,Measurement,Very High,"Structural, Measuring"
EV006,Hole profile,Geometry,"Cylindrical, tapered or irregular",Categorical,Observation,High,All
EV007,Hole edge radius,Geometry,Chamfers and edge finishing,mm,Observation,Medium,Manufacturing
EV008,Knob diameter,Geometry,Diameter of vertex knobs,mm,Measurement,Medium,Structural
EV009,Knob symmetry,Geometry,Regularity of knob placement,Categorical,Measurement,Medium,Structural
EV010,Face symmetry,Geometry,Deviation from regular geometry,Numeric,Measurement,High,Manufacturing
EV011,Alloy composition,Manufacturing,Chemical composition,XRF,Analysis,High,Manufacturing
EV012,Casting quality,Manufacturing,General casting quality,Ordinal,Observation,High,All
EV013,Casting defects,Manufacturing,"Voids, seams, miscasts",Text,Observation,High,Manufacturing
EV014,Surface finishing,Manufacturing,"Grinding, polishing, scraping",Text,Observation,Medium,All
EV015,Repair evidence,Manufacturing,Ancient repairs,Boolean,Observation,Medium,Reuse
EV016,Tool marks,Manufacturing,Secondary machining traces,Text,Observation,High,Manufacturing
EV017,Internal hole wear,Wear,Wear inside openings,Ordinal,Observation,Very High,Structural
EV018,External wear,Wear,Wear on external surfaces,Ordinal,Observation,High,All
EV019,Rope wear,Wear,Grooves or polish from rope,Boolean,Observation,Very High,Structural
EV020,Rotational wear,Wear,Evidence of repeated rotation,Boolean,Observation,Very High,Mechanical
EV021,Impact damage,Wear,Mechanical impacts,Text,Observation,Medium,All
EV022,Abrasion,Wear,Surface abrasion,Ordinal,Observation,Medium,All
EV023,Thermal alteration,Wear,"Heat damage, soot, wax",Boolean,Observation,Very High,Candlestick
EV024,Residues,Wear,Organic/inorganic residues,Analysis,Analysis,Very High,Multiple
EV025,Site type,Context,"Military, villa, town, temple, etc.",Enum,Publication,Very High,All
EV026,Roman province,Context,Roman administrative region,Enum,Publication,Medium,Distribution
EV027,Associated finds,Context,Objects found together,Text,Publication,Very High,All
EV028,Stratigraphy,Context,Stratigraphic context,Text,Publication,High,Dating
EV029,Dating,Context,Chronological range,Years,Publication,Very High,All
EV030,Number at site,Context,Single or multiple dodecahedra,Integer,Publication,Medium,Distribution
EV031,Military association,Context,Direct military evidence,Boolean,Publication,High,Military
EV032,Ritual association,Context,Direct ritual evidence,Boolean,Publication,High,Ritual
EV033,Rod compatibility,Engineering,Can rods fit securely?,Assessment,Derived,Very High,Structural
EV034,Rope compatibility,Engineering,Can ropes be routed?,Assessment,Derived,Very High,Structural
EV035,Structural stability,Engineering,Stable under load,Assessment,Derived,Very High,Structural
EV036,Load transfer,Engineering,Plausible force paths,Assessment,Derived,High,Structural
EV037,Assembly potential,Engineering,Supports modular construction,Assessment,Derived,High,Structural
EV038,Orientation dependence,Engineering,Requires fixed orientation,Assessment,Derived,High,Measuring
EV039,Standardisation,Comparative,Similarity across artifacts,Statistic,Derived,High,All
EV040,Regional variation,Comparative,Geographic patterns,Statistic,Derived,High,All
EV041,Knob wear,Wear,"Wear, polish, grooving or abrasion on the knobs and knob necks, as distinct from wear on faces or inside the openings",Ordinal,Direct observation,Very High,H005;H012
EV042,Microwear location,Wear,"Microscopic wear analysis distinguishing contact inside the bore of an opening from contact on its outer lip, as against the macroscopic impression recorded by EV017 and EV018",Ordinal,Analysis,Very High,H001;H005;H011;H012
EV043,Aperture distinguishability,Geometry,"Whether every aperture on a single specimen can be told apart from every other, by diameter or by the number of concentric rings engraved around it. Distinct from EV004, which records the distribution of diameters, and from EV039, which records whether diameters conform to a standard between objects",Boolean,Direct observation,Very High,H003;H008
EV044,Interior finish and marking,Manufacturing,"Condition of the internal surface: whether it is smoothed or left as cast, and whether it carries any engraving, scale or marking. Distinct from EV012, which records casting quality overall, and EV014, which records decoration of the exterior",Ordinal,Direct observation,High,H003;H004;H014
EV045,Manufacturing difficulty,Manufacturing,"How hard the object actually was to produce: the failure rate of lost-wax casting at this geometry, the skill demanded, and the presence or absence of moulds, casting waste, rejects or workshop debris anywhere in the record",Assessment,Experimental archaeology,Very High,H003;H008;C-16
EV046,Marked axis,Geometry,"Whether the object carries a visual marking that singles out one axis or one face, as distinct from a structural feature such as a base or suspension loop. Distinct from EV038, which asks whether the FUNCTION requires a fixed orientation, and from EV014, which records the presence of decoration",Boolean,Direct observation,Very High,H013;H014;C-15
EV047,Authenticity and provenance security,Documentation,"Security of a specimen as an authentic ancient object: whether it has an excavated findspot, a documented collection history, and any metallurgical or technical authentication. Also whether it may be an ANCIENT local imitation of a classic type, as distinct from a modern forgery",Ordinal,Direct observation,Very High,All
EV048,Within-type standardisation,Comparative,"Whether specimens of a single Greiner/Guggenberger type are more uniform in overall diameter, aperture set and wall thickness than the pooled corpus. Distinct from EV039, which measures standardisation across the corpus as one population and cannot detect type-mixing",Statistic,Analysis,Very High,H002;H006;H011
