candidate_id,name,domain,description,creates,notes
C-01,Artillery shot gauge,Military,Stone or lead shot is passed through the apertures to sort it into calibrated sizes for ballistae and catapults.,Calibrated ammunition of consistent weight,The graded apertures are the obvious attraction of this idea.
C-02,Harness or yoke junction fitting,Military / Farming,"A junction block through which traces, reins or yoke straps are routed and held apart on a draught or cavalry harness.",,Would explain the apertures and the knobs as routing and spacing.
C-03,Net-making mesh gauge,Maritime,Cord is passed round the object to set a constant mesh while netting is worked; different apertures give different mesh sizes.,Fishing or fowling net of standard mesh,The closest maritime analogue to the graded-aperture idea.
C-04,Rigging fairlead or lead block,Maritime,Standing or running rigging is led through the apertures to change direction without chafing.,,"Would explain apertures, hollow form and bronze."
C-05,Volumetric grain or liquid measure,Farming / Commerce,The hollow interior serves as a fixed measure; apertures fill and empty it.,"A measured quantity of grain, seed or liquid",The one candidate for which the Jublains balance association is suggestive.
C-06,Seed-sowing or dibbing gauge,Farming,"Pressed into tilled soil to set seed spacing and depth, or used to meter seed.",Evenly spaced sowing,Would explain the knobs as depth stops.
C-07,Livestock bell or rattle,Animal husbandry,"A hollow body containing a loose clapper, hung on a beast so it can be located; knobs protect the body.",Sound,The hollow form and protective knobs are the attraction.
C-08,Tether or hobble ring,Animal husbandry,"A rope junction to which an animal is tied, or through which hobble ropes are routed.",,"Would explain apertures, knobs and bronze."
C-09,Byre or beehive fumigation holder,Animal husbandry,"Holds smouldering material to smoke a byre, hive or store against insects; apertures admit air and let smoke out.",Smoke,"The only candidate that predicts thermal alteration, which makes it cheaply testable."
C-17,Levelling sight for water engineering,Engineering / Surveying,"Suspended so that gravity fixes the vertical, the object presents a face-pair axis at a known elevation - including exactly 0 degrees when hung from an edge - and is sighted through to set a level or a gradient for an aqueduct, channel or drain.",A levelled line or a set gradient,"THE FIRST CANDIDATE TO MAKE USE OF EV046, the marked axis, and therefore the first to be scored on it. Refuted on precision by EXP-0004 and on documentation by the fact that Vitruvius names the instruments actually used for this task."
C-15,Suspended solar altitude sight,Astronomical,"The object is hung from a knob so that gravity fixes the vertical. When the sun's altitude matches a face-pair axis, light passes cleanly through both opposite apertures and throws a shadowless disc of light inside the object's shadow. Which pair aligns, and when, indicates the season.","A reading of solar altitude, and hence of the date","THE BEST-CONSTRUCTED MECHANICAL PROPOSAL IN THE PROJECT, and the only one whose central quantity is SCALE-INVARIANT: the axis angles are fixed by the polyhedron regardless of the object's size, which is exactly what the deduction in the results summary says the function must be. Refuted by computation rather than by the corpus - see EXP-0003."
C-14,Zodiac sundial by internal light projection,Astronomical,"Held or mounted in a fixed orientation, sunlight entering one aperture projects a patch onto the interior wall. The position of the patch at local noon indicates the solar declination and hence the zodiac month, in the manner of the zodiac declination curves carried by Roman conical and hemispherical dials.",A reading of the date or zodiac sign,The only candidate in the project refuted by computation rather than by the corpus alone. See EXP-0002.
C-13,Garment or tailoring size gauge,Craft / Textile,"Each aperture is a fixed gauge against which a tubular garment part - a glove finger, cuff, hose or sleeve opening - is checked or sized during cutting and making up. The graded apertures form a graded set of sizes.",Garment parts made to a repeatable size,"DISTINCT FROM H012, H014 AND C-12: a gauge CHECKS a size, it does not FORM anything. That single difference changes what the mechanism needs and, crucially, leaves the knobs unexplained."
C-11,Knob-based dividers or angle gauge,Metrology / Surveying,The twenty vertex knobs provide a fixed set of inter-knob distances and angles. The object is used like a set of dividers or a three-dimensional template to step distances or set angles on a workpiece or on the ground.,Marked-out distances and angles,"Distinct from H002 and H011, which use the apertures optically. Here the KNOBS are the working reference points and the apertures are irrelevant. NOTE ON THE MARITIME FRAMING: there were no sea charts in the Roman world. Navigation used the periplus, a written pilot book; the first portolan charts appear in the late 13th century. A divider used against a chart therefore has no chart to work on, and the candidate is screened only in its land-surveying and workshop framing."
C-12,Soft-material forming and handling tool,Craft,"The object forms, shapes or holds material softer than bronze - leather, wax, foil, soft metal sheet or another precious soft substance. The knobs act as standoffs and spacers setting thickness; the graded apertures suit different work sizes; relief around the apertures impresses into the material.","Formed pieces of leather, wax, foil or soft metal","THE GENERALISATION OF H014. Where H014 names the material (wax) and the product (sealing bullae), this candidate names only the property that matters mechanically: everything the tool touched was softer than it. READ THE SCREEN SCORE WITH GREAT CARE - see the notes on this candidate in the report."
C-10,Wax bulla or seal former,Administrative,Softened wax is pressed within the object around a knotted cord to form a standardised sealing element; knobs act as spacers limiting compression.,Standardised wax bullae securing cords on documents,"The hypothesis of PUB-0041 (Lamb 2026), tested experimentally on a replica. Screened here; not yet promoted to a scored hypothesis."
