hypothesis_id,ev_id,prediction,rationale
H001,EV001,+,A structural node needs to be large enough to accept rods; hand-sized range expected
H002,EV001,0,Measuring instrument could work at any scale within hand-held range
H003,EV001,0,Ritual objects vary widely in size
H004,EV001,+,Candle holder must accommodate candles; small to medium size expected
H005,EV001,+,Textile tool must be hand-held; size range consistent
H006,EV001,0,Astronomical instrument size is not strongly constrained
H007,EV001,0,Military equipment size is not strongly constrained by hypothesis alone
H008,EV001,0,Shrine component size is not strongly constrained
H001,EV002,+,Structural node under load benefits from mass
H002,EV002,0,Mass not diagnostically relevant to measuring function
H003,EV002,0,Ritual objects are not constrained by mass
H004,EV002,0,Mass not relevant to candle-holding function
H005,EV002,0,Textile tool mass not diagnostically relevant
H006,EV002,0,Mass not relevant to astronomical function
H007,EV002,+,Military equipment may require durability; higher mass is consistent
H008,EV002,0,Shrine component mass is not constrained
H001,EV003,+,Thicker walls provide greater strength for load-bearing connector
H002,EV003,0,Wall thickness irrelevant to measuring function
H003,EV003,0,Wall thickness irrelevant to ritual use
H004,EV003,0,Wall thickness irrelevant to candle-holding
H005,EV003,0,Wall thickness irrelevant to textile function
H006,EV003,0,Wall thickness irrelevant to astronomical use
H007,EV003,+,Military equipment benefits from robustness
H008,EV003,0,Wall thickness irrelevant to shrine use
H001,EV004,++,Variable hole sizes match rods of different cross-sections in a modular system
H002,EV004,++,Holes of specific sizes serve as diameter gauges; variation is functionally necessary
H003,EV004,0,Ritual use does not require any particular hole size pattern
H004,EV004,-,Candles are manufactured to standard sizes; systematically varying holes are unexpected
H005,EV004,++,Different hole sizes accommodate different yarn thicknesses; variation is expected
H006,EV004,+,Specific hole sizes could serve as sighting apertures at different angular scales
H007,EV004,0,Military function does not predict any particular hole size pattern
H008,EV004,0,Shrine function does not require specific hole sizes
H001,EV005,++,A structural node requires matching opposing holes so rods pass through axially
H002,EV005,+,Opposing pairs of equal diameter would serve as bilateral gauges
H003,EV005,0,Ritual use has no requirement for opposing holes to match
H004,EV005,-,Candle holder needs one upward-facing hole; opposing symmetry is not required
H005,EV005,+,Yarn routing through opposing holes is plausible for textile use
H006,EV005,+,Sighting through opposing holes requires alignment; matching sizes expected
H007,EV005,0,Military function does not predict opposing-hole symmetry
H008,EV005,0,Shrine use does not require opposing-hole symmetry
H001,EV006,++,Rods require cylindrical or gently tapered holes for secure seating
H002,EV006,++,Precision diameter gauging requires consistent hole profiles
H003,EV006,0,Ritual use has no requirement for specific hole profile
H004,EV006,+,Candles require a socket; some profile consistency expected
H005,EV006,+,"Yarn routing benefits from smooth, consistent hole profiles"
H006,EV006,+,Sighting apertures benefit from clean cylindrical profiles
H007,EV006,0,Military function does not predict specific hole profile
H008,EV006,0,Shrine function does not predict specific hole profile
