exp_id,hypothesis_ids,objective,protocol,outcome,notes
EXP-0005,H003; H008,"Test whether the number and diameter of the concentric rings engraved around each aperture are determined by the geometry of the face, and whether the two undecorated faces are undecorated for want of room.","Analytical. For a regular dodecahedron of edge e, the pentagonal face has circumradius R = e/(2 sin 36) = 0.85065 e, which is the distance from face centre to knob, and apothem a = e/(2 tan 36) = 0.68819 e, which is the largest radius a complete circle can occupy before the pentagon edges cut it. Hence a/R = cos 36 = 0.80902. The annulus available for rings is the band between the aperture radius and a. Ring counts were then predicted at a uniform 2 mm pitch and compared with the two specimens for which per-face ring counts are published.","THE CONSTRAINT: no complete ring can exceed 80.9 per cent of the distance from the face centre to the knobs, on any dodecahedron of any size. THE MODEL WORKS ON DECORATED FACES. Vienne (RD-0035, edge 24.70 mm derived from 55 mm face to face): the 14 mm apertures leave a 10.0 mm annulus, room for about 5 rings, and Duval records 4 and 6; the 22 mm apertures leave 6.0 mm, room for about 3, and he records 3. IT FAILS DECISIVELY ON THE UNDECORATED PAIR. The 23 and 24 mm apertures leave 5.5 and 5.0 mm, room for 2 to 3 rings, and both carry NONE. TWO WORKSHOP RULES, NOT ONE. Jublains (RD-0020, edge stated as 21 mm) carries three rings on all ten decorated faces regardless of aperture size, including a 22 mm aperture whose 3.45 mm annulus fits only about 1.7 rings at the same pitch. Vienne varies the count and holds the pitch; Jublains holds the count and tightens the pitch.","COMPUTED BY THIS PROJECT, August 2026; regular geometry assumed, and EV010 records that the objects are not regular, so the figures are nominal. TWO CONSEQUENCES. First, the zero ring count on the opposed pair is NOT explained by lack of space, which is quantitative support for the production-hole reading: those faces were skipped because they are casting artefacts, not because the engraver ran out of room. Second, because one workshop rule makes ring count constant and the other makes it a function of aperture diameter, THE RINGS CARRY NO INDEPENDENT LABELLING INFORMATION UNDER EITHER RULE - constant count distinguishes nothing, and count-determined-by-diameter is redundant with diameter. This bears directly on EV043 and on prediction P-0009."
EXP-0010,C-05,"Test whether a dodecahedron could serve as a volumetric measure for grain or liquid. C-05 was eliminated in the screen at -18.0 on a standardisation argument - a measure that varies between examples measures nothing - which is an argument about the corpus rather than about the object, produced by a screen rule known to be crude (A7). This tests the candidate on its own terms.","Analytical computation at database/exp_volume.py, tested at database/test_exp_volume.py. Three questions. (a) NOMINAL CAPACITY: the cavity of a uniform shell is a similar dodecahedron whose inradius is reduced by the wall thickness; V = (15 + 7 sqrt5)/4 a^3 and inradius = sqrt(250 + 110 sqrt5)/20 a. Compute the enclosed volume for every measured specimen and find the nearest Roman capacity unit. THE NULL MATTERS: Roman units are roughly geometric, so any volume in range sits within some percentage of one. The control is 200000 volumes drawn uniformly in LOG space over the same range, seeded. (b) RETAINED CAPACITY: how much the object holds when set down. (c) GRANULARITY: aperture diameter against cereal grain length.","REFUTED ON THE FORM, NOT ON THE CORPUS, AND MORE DECISIVELY THAN THE SCREEN MANAGED. (a) Nominal capacity runs 42.8 ml (Couthuin, 44 mm) to 1297.7 ml (Fishguard, 127.7 mm and rejected for geometry), a factor of 30 across the measured corpus. The mean relative distance to the nearest Roman unit is 24.8 per cent, against 23.0 per cent for log-uniform random volumes; 65 per cent of random volumes sit at least as close. NOMINAL CAPACITY IS NO BETTER THAN CHANCE, and the apparent near-matches (Norton Disney +9 per cent of a hemina, Couthuin +6 per cent of a cyathus) are what any object of this size would produce. (b) THE DECISIVE RESULT: every face carries an aperture at its centre, so whichever face is downward its aperture is the lowest point of the cavity. RETAINED VOLUME IS ZERO IN EVERY ORIENTATION, for every specimen, as a property of the form. A measure must retain what it measures. (c) Cereal grain is 5 to 9 mm long and the published aperture range is 6 to 40 mm, so every aperture passes grain freely. Dry measure fails for the same reason as liquid.","THIS CORRECTS AN ARITHMETIC ERROR MADE WHILE SCOPING THE EXPERIMENT. A first estimate used a volume coefficient of 2.785 rather than the correct 7.663, understating every volume by a factor of about 2.75 and making the object look far too small to be any Roman unit. It is not too small; the volumes land squarely among the units, and it is only the null that shows the fit is meaningless. A test guards the coefficient. THE SCREEN'S ORIGINAL GROUND IS WEAKER THAN THIS ONE. Standardisation is an argument about variation between examples; retention is an argument about whether the object can perform the function at all. C-05 should be recorded as eliminated by computation, not by score."
EXP-0009,H006; C-14; C-15,"Test whether the set of face-axis elevations a dodecahedron can present fits the twelve zodiac sign boundaries better than an arbitrary set of elevations would. This is separate from EXP-0002 and EXP-0003, which refute the solar readings on resolution and on the number of reachable elevations; here the question is whether the APPARENT fit that motivates the reading is anything more than the freedom to choose a latitude.","Analytical computation with a Monte Carlo control, at database/exp_zodiac.py, tested at database/test_exp_zodiac.py. (a) Derive the solid from first principles and take the seven distinct face-axis elevations across all modes of support, as EXP-0003. (b) At latitude phi the solar noon altitude is 90 - phi + declination; invert for each elevation to get the declination, then invert sin(dec) = sin(obliquity) sin(longitude) to get the two solar longitudes per year at which it occurs. Each is an event. (c) Measure each event's distance to the nearest multiple of 30 degrees. The fit statistic is the mean over all events; lower is a closer fit. (d) Scan latitude from 40 to 58 N, the range the corpus covers, and keep the best. (e) Compare against chance. The analytic baseline is exact: distance from a uniform longitude to the nearest boundary is uniform on [0, 15], mean 7.5 degrees. The controlling comparison is a Monte Carlo of 20000 RANDOM elevation sets of the same size given the same free latitude scan, seeded for reproducibility.","THE FIT IS NOT BETTER THAN CHANCE; IT IS WORSE. The best mean distance to a sign boundary is 5.52 degrees, at 58.0 N over 8 events. That beats the 7.5 degree analytic baseline, but the beating is an artefact of the scan: a free latitude search is a maximisation over a nuisance parameter and will beat 7.5 for almost any elevation set. Against the controlling comparison, 18810 of 19997 random elevation sets do AT LEAST AS WELL (p = 0.94), and the median random set scores 3.51 degrees against the real solid's 5.52. The dodecahedron's elevations are, if anything, unusually badly placed for marking sign boundaries. THE OPTIMUM ALSO SITS AT THE EDGE OF THE SCANNED RANGE, which is a second sign that it is a boundary artefact and not an alignment.","SUPERSEDES AN UNCOMMITTED CALCULATION. An earlier version of RDORP-012 stated a best mean distance of 5.84 degrees at 51.8 N against 7.50 expected at random. That figure had been computed once in a scratch session and the code was never committed, so it was removed from the document as unreproducible. This experiment replaces it. The replacement does not reproduce 5.84 at 51.8 N - it finds 5.52 at 58.0 N - and the discrepancy cannot be resolved, because the original method is not recoverable. THE CONCLUSION IS UNCHANGED AND NOW STRONGER: the earlier figure was compared only against the analytic 7.5, which the free scan guarantees beating; the Monte Carlo control shows the fit is worse than an arbitrary solid's. THE TEST IS CHECKED FOR SENSITIVITY: a contrived elevation set placed deliberately on sign boundaries scores 0.0000 degrees, so the statistic does distinguish a real alignment from a random one."
EXP-0008,H012,"Measure how far the analysis depends on who specified it, by having the prediction matrix and the corpus directions produced independently under blind protocols (RDORP-013 items A3 and A5).","Three prompts were written so that each runner needed nothing from the repository, and each named the files and tables that must not be opened. A3a: specify all 48 predictions for H012 while blind to the observations. A3b: assign a direction and confidence to all 28 scored corpus observations while blind to the hypotheses and the scores - the opposite blindfold. A5: respecify six vague variables across all 14 hypotheses while blind to the observations. Each result was then compared cell by cell with the values already in the project, and the blind H012 matrix was scored against the corpus.","THE ANALYSIS DEPENDS HEAVILY ON WHO SPECIFIED IT. A3a: the independent matrix agrees with the existing one on 22 of 42 comparable cells, 52 per cent, with six disagreements of two levels or more. Scored against the corpus the blind matrix gives H012 +16.4 unclustered and +17.7 clustered, against +22.7 and +22.1 for the existing matrix - a loss of about six points. A3b: direction agreement 13 of 28, 46 per cent; confidence agreement 15 of 28, 54 per cent; both agreeing on only 7 of 28, 25 per cent. Four ratings are outright polarity reversals. A5: 51 of 84 cells were respecified, so 61 per cent of the vague predictions changed once someone was asked to make them specific.","RUN BY SEPARATE SESSIONS OF THE SAME MODEL FAMILY, which the A3a runner flagged unprompted: this is a second specifier sharing the project's priors, not an independent discipline. Two further caveats are on the record because the runners raised them. FIRST, THE A3a PROMPT LEAKED: it stated that H012 and H014 are the two currently leading hypotheses, so the specifier knew before writing a cell that this hypothesis scores well. That was a fault in the prompt, not in the response, and it makes the 52 per cent agreement an OPTIMISTIC figure. SECOND, the A5 runner grepped the hardening plan for its own item name and saw two lines stating that these variables carry good evidence. WHERE THE LOSS FALLS IS THE POINT. The blind matrix costs H012 most on EV017 internal hole wear (4.5), EV003 wall thickness (3.6) and EV019 rope wear (2.2). On each, the existing matrix predicts the ABSENCE that the corpus records, and the independent specifier working from the mechanism alone predicted the presence. That is the signature of specification informed by the answer, and it is the bias the exercise was built to detect."
EXP-0007,H013; H014; C-15; C-17,"Test whether the decoration determines an orientation of the dodecahedron, as distinct from merely marking an axis.","Group theory, verified by explicit construction. The rotation group of the dodecahedron was built as permutations of the twelve faces and confirmed to have order 60. The stabiliser of a single unordered opposed face-pair was then computed, and the stabiliser of a labelling in which that pair is distinguished and the other ten faces are identical.","MARKING AN AXIS IS NOT DETERMINING AN ORIENTATION. Distinguishing one opposed pair out of six reduces the 60 rotations to 10: it fixes WHICH AXIS but leaves five rotations about that axis and a flip exchanging its two ends. IF THE REMAINING TEN FACES CARRY IDENTICAL DECORATION, nothing further is broken and all 10 orientations survive. That is the Jublains case (RD-0020), which carries three rings on every decorated face. ON SPECIMENS WHOSE FACES DIFFER, orientation is fully determined - but trivially, because the faces are individually distinguishable. Any sufficiently irregular object determines its own orientation in that sense, and it is not evidence of design. NOTHING OBSERVED DISTINGUISHES THE TWO ENDS OF THE AXIS. The two undecorated faces are equivalent to each other on every specimen recorded, so there is no up and no down.","COMPUTED BY THIS PROJECT, August 2026, on the regular solid; EV010 records that the objects are not regular, which can only reduce symmetry further and therefore strengthens the trivial-determination point rather than the design point. THE CONCLUSION BEARS ON EV038 AND EV046: the decoration marks an axis at most, and on at least one specimen not even that much beyond the axis. Combined with the finding at EV046 that the marked axis is most probably a casting scar, there is no evidence that any dodecahedron was designed to be held in a particular orientation."
EXP-0006,H003; H008; H006,"Test whether the concentric rings engraved around the apertures could encode the twelve signs of the zodiac, or any twelve-fold scheme, by assigning a distinct ring count to each face.","Counting argument against the published ring counts. The observed range of ring counts anywhere in the corpus is 0 to 6 (PUB-0003 n 4, which records up to six and cites Guggenberger no 11 as carrying two to five; PUB-0017, 200 records 0, 3, 4 and 6 on one object). That is at most seven distinct values available to label twelve faces.","NO. By the pigeonhole principle, twelve faces distributed over at most seven values force at least five faces to share a count with another face, on every specimen. Ring count alone can therefore never uniquely label twelve signs on any dodecahedron in the known corpus. THE ONE SPECIMEN WITH PUBLISHED PER-FACE COUNTS BEARS THIS OUT DIRECTLY. On Vienne (RD-0035) the seven published faces already repeat: faces 2, 3 prime and 5 prime all carry three rings, and faces 1 and 1 prime both carry none. Five faces are unpublished and cannot rescue it, because the repetition is already present. NOR DOES PAIRING RING COUNT WITH APERTURE DIAMETER RESCUE IT. On Vienne the rings conspicuously fail to separate the three faces that share a 22 mm aperture, all of which carry three rings. THE RINGS ARE NOT WHOLLY REDUNDANT, HOWEVER, AND AN EARLIER VERSION OF THIS RECORD OVERSTATED THAT: faces 4 prime and 6 prime share a 14 mm aperture and carry FOUR and SIX rings respectively, so on that pair the rings do break a tie that diameter does not, and the space-filling model of EXP-0005 does not account for the difference either. The residual variation is real but small, and it falls far short of the twelve distinct values a twelve-fold scheme would need.","COMPUTED BY THIS PROJECT, August 2026. THE DECISIVE COMPARISON IS EXTERNAL: a Roman dodecahedron bearing the zodiac does exist - the Geneva specimen (PUB-0037), solid lead coated with silver, with a sign of the zodiac ENGRAVED ON EACH FACE. When a Roman wanted the zodiac on a dodecahedron he cut the signs. The hollow knobbed objects carry rings instead, and rings cannot do that work. No hollow knobbed dodecahedron has ever been recorded with a zodiac sign, a month name, a numeral or any inscription."
EXP-0004,C-17,"Test whether a suspended dodecahedron could level an aqueduct or set the gradient of a water channel, using a sight through a pair of opposite apertures against a gravity-fixed vertical.","Analytical computation. (a) Elevations of the six face-pair axes for each mode of support, from EXP-0003. (b) Angular tolerance of a through-sight, taken as arctan((d_far - d_near) / 2L), where the beam admitted by the near aperture clears the far one. (c) Comparison with the gradients Roman aqueducts were actually built to.","MARGINALLY ADEQUATE FOR THE CRUDEST PERMITTED GRADIENT, HOPELESS FOR REAL PRACTICE. A horizontal sight line IS available: hung from an edge, one face-pair axis lies at exactly 0 degrees. But the sight tolerance is set by the difference between paired apertures. The single closest pair in the corpus, 14.2 and 14.5 mm on Avenches over a 46.5 mm path, gives 0.18 degrees; typical pair differences of 2 to 4.5 mm give 1.15 to 2.58 degrees. Against Vitruvius's stated minimum gradient of half a foot per hundred feet (1:200, 0.2865 deg) the best pair on the best specimen is just sufficient and a typical pair is 4 to 9 times too coarse. Against gradients actually built - 1:3000 at Nimes, 1:4000 on parts of the Aqua Marcia, 1:20000 on the flattest surveyed stretch at Nimes - even the best pair is 10, 13 and 65 times too coarse respectively. The reason is baseline: levelling accuracy scales with the length of the instrument, and Vitruvius's chorobates is a bench of about twenty Roman feet, some 120 times the 50 mm face-to-face path of a dodecahedron.","COMPUTED BY THIS PROJECT, August 2026; no artefact examined. The gradient figures are standard values for the aqueducts named and were not verified against primary survey data by this project. NOTE THE HONEST SHAPE OF THE RESULT: this is not a flat refutation. The instrument could just about set the crudest gradient Vitruvius permits, using the best pair on the most precisely made specimen. It could not survey an aqueduct, and a Roman engineer with a chorobates had no reason to try."
EXP-0003,C-15,Test whether suspending a dodecahedron from a chosen knob and reading the solar altitude at which sunlight passes cleanly through a pair of opposite apertures - a shadowless disc of light inside the shadow - can index twelve dates in the year.,"Analytical computation. Dodecahedron vertices derived as the centroids of the faces of the dual icosahedron, verified by the requirement that each vertex be equidistant in angle from exactly three face normals (37.38 deg x 3). For each possible support - 20 knobs, 12 faces, 30 edge midpoints - the support direction is taken as vertical and the elevation above the horizontal of each of the six face-pair axes is computed. Reachability is then checked against solar noon altitude, 90 - latitude + declination, for declination between -23.44 and +23.44 degrees, at four corpus sites.","THREE NEGATIVE RESULTS, ONE OF THEM DECISIVE FOR THE PROPOSAL AS STATED. (1) THE CHOICE OF KNOB CONVEYS NO INFORMATION. The dodecahedron is vertex-transitive, so all 20 knobs are geometrically equivalent and every one yields an identical configuration. There is nothing to choose. (2) Suspension from a knob yields only TWO distinct face-axis elevations, 10.81 and 52.62 degrees, not twelve. Resting on a face yields 26.57 and 90; hanging from an edge yields 0, 31.72 and 58.28. Across every possible support there are SEVEN distinct elevations in total. (3) Of those seven, only four are reachable by the noon sun - 26.57, 31.72, 52.62 and 58.28 - and they are THE SAME FOUR at Arles, Jublains, Norton Disney and Corbridge, from 43.7 to 55 degrees north. Four elevations crossed twice a year gives eight calendar events, not twelve.","COMPUTED BY THIS PROJECT, August 2026, and reproducible from first principles; no artefact was examined. AN EARLIER RUN OF THIS COMPUTATION WAS WRONG and is recorded here for transparency: it used an incompatible cyclic convention for the vertex coordinates and reported two distinct knob classes, which would have implied that knob choice mattered. The error was caught by checking that every vertex sits at equal angle to exactly three face normals, which the bad coordinates failed. LIMITATIONS: a regular dodecahedron is assumed, and EV010 shows the objects are irregular; irregularity would blur the elevations rather than multiply them. NOTE ALSO result (3) cuts against the distribution argument: an instrument giving identical readings from 43.7 to 55 degrees north is latitude-insensitive across the whole empire and had no reason to stay in the north-western provinces."
EXP-0002,C-14,"Test whether a hollow dodecahedron can resolve twelve zodiac divisions by projecting sunlight through one aperture onto its interior, in the manner of the zodiac declination curves carried by Roman conical and hemispherical dials.","Analytical computation, not physical trial. (a) Angles between the twelve face axes of a regular dodecahedron, from the dual icosahedron vertices. (b) Annual travel of the projected light patch on the interior wall, L*tan(46.88 deg), where L is the internal path length and 46.88 deg is the full annual swing of solar noon altitude. (c) Diameter of the patch, d + L*tan(0.53 deg), being the aperture image plus the solar penumbra. (d) Resolvable divisions = travel / patch.","TWO INDEPENDENT NEGATIVE RESULTS. (a) The twelve face axes are separated by only three distinct angles: 63.435, 116.565 and 180 degrees. The smallest, 63.435 deg, is 1.35 times the ENTIRE 46.88 deg annual swing of solar noon altitude, so at any fixed site at most one face axis can ever align with the noon sun and no second axis can enter the band. Direct face-axis alignment therefore cannot index twelve dates. (b) For the projection reading, twelve divisions require an aperture-to-path ratio of L/d >= 12.5. Measured specimens give 3.9 to 5.6: Avenches 46.5/8.7 = 5.3 (5.4 divisions), Mainz 3 (4.0), Jublains 48/10.5 = 4.6 (4.7 divisions). Every measured specimen falls short by about a factor of two, resolving roughly four to six divisions rather than twelve.","COMPUTED BY THIS PROJECT, August 2026. Reproducible from the measurements in the specimens table and standard solar geometry; no artefact was examined. LIMITATIONS: it assumes a regular dodecahedron, which EV010 shows the objects are not, and it takes L as the face-to-opposite-face distance. Neither assumption is favourable to the negative result - irregularity would worsen resolution, not improve it. NOTE the corollary: four to six divisions IS achievable, so a seasonal or solstitial reading is not excluded by resolution alone, only a twelve-fold one."
EXP-0001,H003; H008,Test whether a dodecahedron can act as a forming aid for standardised wax elements such as bullae securing cords on documents.,3D-printed polylactic acid replica of external diameter c 65 mm. Wax mixture of approximately 80 per cent beeswax and 20 per cent pine resin by weight. Softened wax pressed within the tool around knotted cotton twine; ten tokens produced in one session; perimeter thickness measured on each.,"Perimeter thickness approximately 4.0 to 4.5 mm across all ten examples. The author reports consistent depth control independent of user variation, and attributes it to the knobs acting as spacers limiting compression.","Reported in PUB-0041 (Lamb 2026, EXARC Journal 2026/2). NOT RUN BY THIS PROJECT and NOT REPLICATED HERE. CRITICAL LIMITATION: the trial used a 3D-printed replica, so it demonstrates only that the SHAPE can perform the task. It reports no observation of any archaeological specimen and provides no evidence that any dodecahedron was ever used this way. A successful replica trial raises a hypothesis to testable; it does not support it. The hypothesis it proposes - a wax-forming tool - is NOT yet in the hypothesis set and has not been scored."
