evidence_id,category,evidence_statement,evidence_type,confidence,relevant_hypotheses,primary_observable
E001,Geometry,Roman dodecahedra are hollow cast copper-alloy objects.,Observed,High,All,"Material, manufacturing"
E002,Geometry,Complete specimens have 12 pentagonal faces.,Observed,High,All,Overall geometry
E003,Geometry,Each face contains one circular opening.,Observed,High,All,Face openings
E004,Geometry,Hole diameters usually vary within a specimen.,Observed,High,Structural Connector; Measuring Instrument,Hole size distribution
E005,Geometry,Twenty knobs occur at the vertices.,Observed,High,All,Vertex morphology
E006,Geometry,Typical size is approximately 4–11 cm.,Observed,High,All,Overall dimensions
E007,Geometry,Specimens differ in overall dimensions.,Observed,High,All,Dimensional variability
E008,Manufacturing,Objects were produced by casting.,Observed,High,All,Casting
E009,Manufacturing,High manufacturing skill was required.,Constraint,High,All,Craftsmanship
E010,Manufacturing,Surface finishing is commonly present.,Observed,Medium,All,Surface treatment
E011,Decoration,Concentric rings commonly surround holes.,Observed,High,All,Decoration
E012,Decoration,Decoration varies between specimens.,Observed,High,All,Variation
E013,Epigraphy,No authenticated inscriptions or numerals are known.,Observed,High,All,Epigraphy
E014,Documentation,No ancient text securely explains the function.,Observed,High,All,Historical sources
E015,Documentation,No undisputed ancient depiction of use is known.,Observed,High,All,Iconography
E016,Distribution,Finds cluster in north-western Roman provinces.,Observed,High,All,Geographic distribution
E017,Distribution,No confirmed finds are known from Italy.,Observed,High,All,Negative distribution
E018,Chronology,Most finds date to the 2nd–4th centuries AD.,Observed,High,All,Dating
E019,Context,Artifacts occur in military contexts.,Observed,High,Military; Structural,Site context
E020,Context,Artifacts occur in civilian settlements.,Observed,High,All,Site context
E021,Context,Artifacts occur in funerary contexts.,Observed,Medium,Ritual,Site context
E022,Context,Artifacts occur in hoards and river deposits.,Observed,Medium,Ritual,Depositional context
E023,Context,No single archaeological context dominates.,Constraint,High,All,Context diversity
E024,Corpus,About 130 known specimens exist.,Observed,High,All,Corpus size
E025,Corpus,Roman Britain accounts for roughly one quarter of known finds.,Observed,High,Distribution,Regional corpus
E026,Wear,Published wear evidence is limited and inconsistent.,Observed,Medium,Structural,Wear studies
E027,Wear,No universal pattern of rope wear has been demonstrated.,Observed,Medium,Structural Connector,Wear
E028,Residue,No widespread evidence of soot or wax residues has been published.,Observed,Medium,Candlestick,Residues
E029,Metrology,No accepted metrological standard has been demonstrated.,Constraint,Medium,Measuring Instrument,Measurements
E030,Research,More than fifty functional hypotheses have been proposed.,Observed,High,Research,Hypothesis landscape
EI-0001,Comparative Analysis,"AUTHOR INTERPRETATION (Guggenberger and Leach 2025, 33): given that the overwhelming majority of dodecahedra derive from civilian contexts and that the distribution is geographically limited despite the mobility of Roman soldiers, a primary military purpose can be ruled out.",Interpretation,High,H007,EV025; EV031
EI-0002,Comparative Analysis,"AUTHOR INTERPRETATION (Guggenberger and Leach 2025, 36, citing Thompson 1970, 93-5): the suggested use as a distance-measuring device must be rejected, having been conclusively refuted.",Interpretation,High,H002,EV039; EV038
EI-0003,Comparative Analysis,"AUTHOR INTERPRETATION (Guggenberger and Leach 2025, 37): there is nowadays fairly broad consensus that the purpose cannot be found without considering the symbolism of the shape, and it is often assumed to be some kind of ritual object, possibly used in divination, perhaps in combination with a light source.",Interpretation,Medium,H003; H008,EV025; EV032
EI-0004,Comparative Analysis,"AUTHOR INTERPRETATION (Guggenberger and Leach 2025, 35-6): the position of the Gelduba dodecahedron immediately adjacent to a bone object suggests a functional connection between the two, and there may perhaps have been a temporary mounting of the dodecahedron upon a kind of handle passing through its pair of production holes.",Interpretation,Medium,H001; H004; H008,EV027; EV033
EI-0005,Comparative Analysis,"AUTHOR INTERPRETATION (Guggenberger and Leach 2025, 40): the primary function of the knobs seems to be to provide support, stability and protection to the dodecahedron, indicating a purpose beyond decoration, and hints at a usage distinct from that of Roman dice, which never feature knobs.",Interpretation,Medium,H003; H008,EV008; EV009
EI-0006,Comparative Analysis,"AUTHOR INTERPRETATION (Guggenberger and Leach 2025, 34, citing Hitchens 2023 and Henig 2025): the Norton Disney specimen could have been placed on top of the pit in order to close it ritually, and may originate from a shrine.",Interpretation,Medium,H003; H008,EV025
EI-0007,Comparative Analysis,"AUTHOR INTERPRETATION (Guggenberger and Leach 2025, 51-2): the dodecahedron's inspiration may have been the receptacle of all becoming in Plato's Timaeus, realised in abstract form, and it may have been used as a receptacle in theurgic divination by Gallo-Roman Druids and a wider circle of initiates. The authors state this is not yet proven.",Interpretation,Low,H003; H008,EV025; EV032
EI-0009,Archaeological Context,"AUTHOR INTERPRETATION (Guillier, Delage and Besombes 2008, para 62): depending on whether greater importance is given to the balance or to the dodecahedron, the Jublains building may have been the shop of a merchant or craftsman - a money changer, goldsmith, bronzesmith, or dealer in spices or precious materials - or else the den of a diviner or seer, the two not being incompatible.",Interpretation,High,H002; H003; H008,EV025; EV027
EI-0010,Comparative Analysis,"AUTHOR INTERPRETATION (Duval 1981, 200): the two largest opposed openings of the Vienne dodecahedron have a periphery that appears less regularly cut than the others, as if worn by friction from a stick passing through both simultaneously. The author states that no conclusion can be drawn from the analysis of a single dodecahedron.",Interpretation,Medium,H001; H004,EV017; EV033
EI-0011,Comparative Analysis,"AUTHOR INTERPRETATION (Sparavigna 2012): the common features of the analysed dodecahedra allow the conclusion that the object was probably a dioptron used as a coincidence rangefinder, with distance given by L = GH x B / (D - D'). The same author records, against her own thesis, that it does not seem that a standard or rule for these instruments existed, and that a Roman dodecahedron cannot have been used for sorting because it is a biased body.",Interpretation,Low,H002,EV004; EV005; EV039
EI-0012,Comparative Analysis,"AUTHOR INTERPRETATION (Sparavigna 2012, 4): the presence of wax inside a dodecahedron does not imply a candle holder, because Romans used wax tablets for writing and calculation, so wax may simply have been used by the owner.",Interpretation,Low,H004,EV023; EV024
EI-0013,Documentation,"AUTHOR STATEMENT OF METHOD (Duval 1981, 195-199): a comparative study of dodecahedra requires flat projections drawn to a single principle. Face 1 is the face with the largest opening; the object is set on the face opposite it; the remaining upper faces are numbered 2 to 6 anticlockwise viewed from above, in decreasing order of opening diameter; opposite faces take the numbers 1' to 6'; and the twenty vertices are lettered a-j and a'-j'. The author notes that the answer to whether any rhythm exists in the openings has never been given, nor even sought, for want of such records.",Constraint,High,All,EV004; EV005; EV010; EV039
EI-0014,Experimental Archaeology,"AUTHOR INTERPRETATION (Lamb 2026): Roman dodecahedra were forming aids for the production of standardised wax elements such as bullae used to secure cords on administrative documents. The author reports that the protruding knobs act as functional spacers limiting compression and ensuring consistent thickness, and that the variable apertures accommodate cords of varying thickness and allow finger access into the hollow interior for release.",Interpretation,Medium,H003; H008,EV008; EV004; EV023; EV024
EI-0015,Experimental Archaeology,"EXPERIMENTAL RESULT, REPLICA ONLY (Lamb 2026): ten wax tokens produced in one session with a 3D-printed replica of external diameter c 65 mm and a wax mixture of about 80 per cent beeswax and 20 per cent pine resin gave perimeter thicknesses of approximately 4.0 to 4.5 mm across all examples, which the author reports as consistent depth control independent of user variation.",Experimental,Medium,H003; H008,EV008
EI-0016,Documentation,"REASONING BY THIS PROJECT, NOT AN OBSERVATION. PUB-0003, 36 records that there is no contemporaneous description of the Gallo-Roman dodecahedron and not even a depiction. That silence is not uniform across the proposed functions, and the asymmetry is informative. Roman technical literature catalogues the equipment of some domains exhaustively and of others hardly at all: military equipment (Vegetius), agriculture (Columella, Palladius), architecture and surveying (Vitruvius, the Corpus Agrimensorum), water engineering with its calibrated pipe apertures (Frontinus), and traded commodities and craft wages (Diocletian's Price Edict of AD 301, some 1,200 entries, from the middle of the dodecahedron window and naming garments down to the birrus Britannicus). Provincial craft practice, Gaulish religion and domestic work are by contrast barely documented. Documentary silence therefore counts heavily against the domains that have surviving technical literature and hardly at all against those that do not. THIS PROJECT HAS NOT READ THOSE TREATISES and does not assert the individual absences from first-hand reading; the argument is offered as a structural one about where silence is and is not evidence.",Constraint,Medium,All,EV025; EV026; EV029
EI-0017,Comparative Analysis,"REASONING BY THIS PROJECT, NOT AN OBSERVATION. Frontinus describes the Roman calibrated water-pipe apertures (the quinaria system). It is the closest Roman analogue to a graded set of apertures used as a standard, and it is named, standardised and written down. The Gallo-Roman dodecahedron is none of those three. What a genuine Roman graded-aperture gauge looks like in the record is therefore known, and the dodecahedron does not look like it.",Constraint,Medium,H002; H006; H011,EV039
EI-0008,Documentation,"AUTHOR STATEMENT OF OPEN QUESTIONS (Guggenberger and Leach 2025, 52): to make further progress, archaeology must determine whether there is any trace of another substance inside or outside some dodecahedra, whether there are any microscopic signs of wear, and whether broken specimens were broken deliberately or accidentally.",Constraint,High,All,EV017; EV019; EV020; EV023; EV024
